    ars    |                           gen                           |                                    st_extent                                     
-----------+---------------------------------------------------------+----------------------------------------------------------------------------------
 053340002 | Aachen                                                  | BOX(5.974861423017713 50.64886466200737,6.216912518736427 50.85735349954505)
 081365001 | Aalen                                                   | BOX(9.961903681784204 48.73214714038811,10.27769541032664 48.92987110517143)
 064390001 | Aarbergen                                               | BOX(8.021650501540934 50.20565023119271,8.161939795766394 50.28167733283656)
 071415011 | Aar-Einrich                                             | BOX(7.876623256128879 50.21426097723964,8.122847727074474 50.355882407699085)
 095760111 | Abenberg                                                | BOX(10.854914514208826 49.19241362420911,11.007523852359665 49.27467670109847)
 095769451 | Abenberger Wald                                         | BOX(10.955535646076742 49.22400276217784,11.001039099389303 49.239199109752164)
 092730111 | Abensberg                                               | BOX(11.791899954601789 48.77511975498788,11.922431910614147 48.89403958348679)
 081360002 | Abtsgmünd                                               | BOX(9.866210512117023 48.856575925129896,10.042596129156902 48.954675192240586)
 064310001 | Abtsteinach                                             | BOX(8.76930087038468 49.51168875019174,8.807349486867269 49.57521498808519)
 083175001 | Achern                                                  | BOX(7.966060694229537 48.58509814470122,8.24860722554386 48.71248079573128)
 033610001 | Achim                                                   | BOX(8.915827047813675 52.98070454982378,9.143101222700048 53.055824105989316)
 010585803 | Achterwehr                                              | BOX(9.805349543879391 54.23659699757322,10.072490221407959 54.36078551443003)
 031590001 | Adelebsen                                               | BOX(9.658381129287577 51.52195172689619,9.826474337099631 51.61449940553068)
 095720111 | Adelsdorf                                               | BOX(10.862955882361295 49.6675463251836,10.962837386012387 49.74449971965164)
 097720111 | Adelsried                                               | BOX(10.682375717295898 48.40826243054006,10.752934673486221 48.436922462237945)
 071315001 | Adenau                                                  | BOX(6.743243953085849 50.30663255206226,7.045730330198949 50.491319165863324)
 033550001 | Adendorf                                                | BOX(10.42320826524577 53.254026638166614,10.498066613412298 53.312877451199725)
 092740111 | Adlkofen                                                | BOX(12.214735888516392 48.503831454333294,12.365158076075158 48.58095812376807)
 145230010 | Adorf/Vogtl.                                            | BOX(12.175800046678903 50.28809060845719,12.309205177820488 50.36405534372691)
 032520001 | Aerzen                                                  | BOX(9.154688559698595 51.9955830324709,9.337125874548855 52.122326061582314)
 097710112 | Affing                                                  | BOX(10.893246911533675 48.41350501358498,11.031074153834382 48.4812126330438)
 055540004 | Ahaus                                                   | BOX(6.866975529447069 52.02124108628991,7.067125395174194 52.18044392376496)
 033585401 | Ahlden                                                  | BOX(9.461763634253247 52.701627124418486,9.676230445343124 52.797228288224154)
 055700004 | Ahlen                                                   | BOX(7.788250518721867 51.70036404357951,7.991331552437824 51.83138252400321)
 066330001 | Ahnatal                                                 | BOX(9.351785892531263 51.34768738139511,9.444891157212133 51.38558524105807)
 092710111 | Aholming                                                | BOX(12.84321959749947 48.70442772865424,12.938150594181366 48.768937937228245)
 094730112 | Ahorn                                                   | BOX(10.854953000572864 50.19867030600112,10.97915951685773 50.24444476874389)
 094720111 | Ahorntal                                                | BOX(11.34262093143775 49.80243763969611,11.4865568004431 49.87700613861557)
 010550001 | Ahrensbök                                               | BOX(10.448242831984237 53.936867394159016,10.654758380452824 54.074951557520464)
 010620001 | Ahrensburg                                              | BOX(10.169759338811819 53.633503087431755,10.31476780097348 53.7066856849198)
 120600005 | Ahrensfelde                                             | BOX(13.496752284956502 52.544235577101205,13.685938933615576 52.65458339340749)
 097710113 | Aichach                                                 | BOX(11.011713818399617 48.39703461608585,11.214343543061826 48.5023576996176)
 092750111 | Aicha vorm Wald                                         | BOX(13.253715386804478 48.6557941391934,13.362956372591754 48.70330763999071)
 081160081 | Aichtal                                                 | BOX(9.143859654192644 48.604055288290255,9.29384185395733 48.651195562054056)
 081160076 | Aichwald                                                | BOX(9.344680998876942 48.74385916104616,9.419220309863979 48.788203981026605)
 092755232 | Aidenbach                                               | BOX(12.998194311871895 48.53021939105212,13.174407547723344 48.5793334408886)
 081155001 | Aidlingen/Grafenau                                      | BOX(8.817887157590452 48.65437825313087,8.943863056364384 48.730973788253834)
 097715701 | Aindling                                                | BOX(10.864234115240846 48.46803413015158,11.053317639045085 48.55176971400631)
 091720111 | Ainring                                                 | BOX(12.87330763050037 47.77944056543301,12.978790916633907 47.8513486533287)
 092785256 | Aiterhofen                                              | BOX(12.538531931623789 48.779580147184824,12.733740310422812 48.90729012317253)
 150820005 | Aken (Elbe)                                             | BOX(11.954835654632369 51.79907092085106,12.14394389870244 51.87933834060877)
 083370002 | Albbruck                                                | BOX(8.071050079349341 47.582659333039416,8.167254842253998 47.67024892088794)
 084175001 | Albstadt                                                | BOX(8.883601146754508 48.15919979905128,9.11855803286389 48.315256846472934)
 053580004 | Aldenhoven                                              | BOX(6.199716572036992 50.86225341120607,6.335457410445376 50.93994329933426)
 092750114 | Aldersbach                                              | BOX(12.983372797011464 48.5529542736181,13.123871875079137 48.63149680125469)
 081190001 | Alfdorf                                                 | BOX(9.631211506951393 48.81420122929111,9.769657722171369 48.9153021731462)
 032540002 | Alfeld (Leine)                                          | BOX(9.739143895587643 51.928632583296015,9.907363458035185 52.035885035371386)
 053820004 | Alfter                                                  | BOX(6.958236618939035 50.661811771647926,7.04429339136503 50.75657527146106)
 032540003 | Algermissen                                             | BOX(9.910161248307421 52.22921711426513,10.034467695464322 52.29688447757306)
 066320001 | Alheim                                                  | BOX(9.564805369316344 50.98098982495576,9.754537479874232 51.07968826099556)
 066350001 | Allendorf (Eder)                                        | BOX(8.582282913061189 51.003451703930494,8.740419718943986 51.073180937947406)
 065310001 | Allendorf (Lumda)                                       | BOX(8.780191918906752 50.646164966873854,8.864559720816457 50.707804087758674)
 095760113 | Allersberg                                              | BOX(11.161919745931842 49.20252564277684,11.321950469433059 49.28174041895777)
 091785127 | Allershausen                                            | BOX(11.528839436850431 48.39923406223421,11.637577652711075 48.49079751773235)
 091790113 | Alling                                                  | BOX(11.2234463045137 48.11953145637211,11.331050777926807 48.165037110861)
 084255001 | Allmendingen                                            | BOX(9.618459701407684 48.29860823023704,9.822201859985642 48.36532580318596)
 150870015 | Allstedt                                                | BOX(11.316991232306384 51.33981013996125,11.504352639749202 51.561483056542826)
 051700004 | Alpen                                                   | BOX(6.41362275299672 51.554727490966,6.56312106091913 51.63180586844879)
 082370002 | Alpirsbach                                              | BOX(8.326471372519253 48.30111640512202,8.50220481916408 48.44203950276615)
 064320001 | Alsbach-Hähnlein                                        | BOX(8.554042476335077 49.724894752128264,8.646422204339359 49.76667125362966)
 053340004 | Alsdorf                                                 | BOX(6.12159474612856 50.84197962734133,6.230164980581691 50.89415356690761)
 065350001 | Alsfeld                                                 | BOX(9.171133867425365 50.698576480797136,9.461065892989065 50.826559155707194)
 120665601 | Altdöbern                                               | BOX(13.833480076285657 51.54040066289953,14.217466864208726 51.71382690866095)
 092740113 | Altdorf                                                 | BOX(12.04003161657083 48.53508819551656,12.126555789298747 48.59026762555656)
