"adv_id","beginnt","land","regierungsbezirk","kreis","gemeinde","gemarkungsnummer","flurnummer","nenner","zaehler","abweichender_rechtszustand","wkt_geometry"
"DESHPDHK0002UhBz","2020-09-10T12:20:06Z","01","0","54","022","5519","13","","35","false","Polygon((486326.532 6059747.541,486552.39 6059764.195,486674.425 6059773.203,486686.961 6059774.122,486698.946 6059775.002,486857.409 6059786.688,487020.449 6059798.704,487034.433 6059799.733,487047.518 6059800.702,487060.613 6059801.671,487109.093 6059805.237,487155.385 6059808.643,487289.121 6059818.493,487301.696 6059819.422,487315.301 6059820.421,487347.608 6059822.809,487406.664 6059827.164,487371.67 6059862.103,487357.196 6059860.864,487156.017 6059845.97,486952.886 6059831.203,486789.795 6059819.376,486568.006 6059803.021,486349.175 6059786.786,486238.835 6059778.808,485993.994 6059760.345,485826.992 6059746.976,485825.085 6059746.865,485822.034 6059746.687,485821.854 6059749.176,485818.707 6059748.947,485816.347 6059748.776,485816.526 6059746.287,485813.825 6059746.091,485811.568 6059745.927,485784.419 6059744.889,485835.378 6059711.329,485893.627 6059715.622,485894.529 6059715.688,485895.69 6059715.774,485986.156 6059722.44,486090.028 6059730.096,486136.991 6059733.555,486256.447 6059742.372,486269.363 6059743.322,486282.638 6059744.302,486326.532 6059747.541))"
"DESHPDHK0002UhD0","2020-09-10T12:19:58Z","01","0","54","022","5519","14","","17","false","Polygon((484192.413 6059488.317,484153.648 6059475.652,484153.138 6059477.351,484145.591 6059474.842,484146.101 6059473.153,484138.124 6059470.554,484102.417 6059458.838,484113.942 6059424.031,484132.884 6059430.419,484219.922 6059459.768,484222.332 6059460.552,484228.428 6059462.537,484223.491 6059477.402,484217.312 6059475.428,484214.324 6059474.473,484213.575 6059475.182,484213.565 6059475.592,484192.413 6059488.317))"
"DESHPDHK0002UhD5","2020-09-25T05:06:11Z","01","0","54","022","5519","14","1","10","false","Polygon((484224.561 6059489.657,484224.681 6059489.257,484228.089 6059478.931,484233.007 6059464.057,484248.671 6059469.265,484253.189 6059470.764,484257.058 6059472.054,484254.479 6059479.821,484252.07 6059487.078,484252.47 6059487.218,484250.621 6059492.736,484248.842 6059497.704,484248.022 6059500.203,484242.684 6059498.594,484240.795 6059497.954,484223.841 6059492.046,484224.561 6059489.657))"
"DESHPDHK0002UhD6","2011-05-31T17:47:26Z","01","0","54","022","5519","14","1","11","false","Polygon((484223.491 6059477.402,484228.428 6059462.537,484233.007 6059464.057,484228.089 6059478.931,484223.491 6059477.402))"
"DESHPDHK0002UhD9","2011-05-31T17:47:26Z","01","0","54","022","5519","14","","24","false","Polygon((484113.942 6059424.031,484102.417 6059458.838,484091.511 6059455.259,484070.779 6059448.432,484069.42 6059452.21,484064.442 6059466.025,483980.634 6059438.176,483976.845 6059435.817,483975.366 6059433.728,483967.368 6059414.296,483963.879 6059410.768,483958.571 6059410.128,483955.053 6059414.076,483969.056 6059375.181,484113.942 6059424.031))"
"DESHPDHK0002UhDa","2023-02-06T11:33:56Z","01","0","54","022","5519","14","3","15","false","Polygon((485254.176 6059752.287,485146.96 6059753.2,485120.321 6059752.282,484989.204 6059742.799,484767.349 6059726.18,484742.718 6059723.32,484717.218 6059719.171,484689.439 6059712.803,484657.761 6059703.495,484604.51 6059685.161,484602.561 6059684.621,484600.772 6059684.571,484598.933 6059685.261,484597.303 6059686.49,484596.134 6059687.87,484578.98 6059682.351,484578.96 6059680.152,484578.34 6059678.283,484577.161 6059676.773,484575.551 6059675.843,484573.672 6059675.244,484472.97 6059643.103,484404.906 6059620.54,484350.647 6059602.561,484309.451 6059588.911,484320.996 6059553.434,484328.772 6059529.553,484328.312 6059529.383,484277.551 6059510.799,484274.872 6059509.82,484275.612 6059507.371,484275.671 6059504.832,484274.922 6059501.903,484273.142 6059498.354,484270.543 6059495.205,484267.604 6059492.646,484264.035 6059490.657,484268.873 6059475.912,484395.655 6059502.933,484496.976 6059524.526,484689.983 6059565.664,484759.836 6059580.559,484877.381 6059605.612,485000.645 6059631.896,485140.559 6059661.711,485184.351 6059665.279,485272.366 6059672.453,485254.176 6059752.287))"
"DESHPDHK0002UhDb","2023-02-06T11:33:56Z","01","0","54","022","5519","14","4","15","false","Polygon((485652.332 6059698.691,485835.378 6059711.329,485784.419 6059744.889,485655.022 6059735.437,485637.599 6059734.648,485599.215 6059737.598,485452.535 6059751.419,485423.107 6059751.87,485254.176 6059752.287,485272.366 6059672.453,485652.332 6059698.691))"
"DESHPDHK0002UhDf","2022-09-26T09:28:33Z","01","0","54","022","5519","14","1","9","false","Polygon((484263.065 6059474.053,484263.965 6059474.353,484266.519 6059475.186,484268.533 6059475.842,484268.873 6059475.912,484264.035 6059490.657,484261.726 6059489.667,484259.187 6059488.778,484258.608 6059488.648,484252.47 6059487.218,484252.07 6059487.078,484254.479 6059479.821,484257.058 6059472.054,484263.065 6059474.053))"
"DESHPDHK00035RrB","2020-01-13T10:42:16Z","01","0","54","093","1559","7","","185","false","Polygon((488637.059 6055984.268,488762.614 6055912.459,488864.458 6055854.192,488868.186 6055852.053,488877.043 6055846.916,488880.482 6055844.927,488893.307 6055860.713,488890.059 6055862.572,488878.113 6055869.408,488772.541 6055929.814,488642.378 6056004.261,488547.074 6056058.895,488425.69 6056128.173,488294.181 6056203.359,488213.392 6056249.534,488121.507 6056301.886,487954.393 6056397.369,487870.229 6056445.622,487861.492 6056451.98,487856.595 6056456.299,487852.326 6056460.528,487848.858 6056464.597,487845.689 6056468.096,487841.901 6056471.995,487837.633 6056475.665,487832.495 6056479.654,487827.327 6056484.403,487820.2 6056488.482,487744.363 6056532.335,487675.542 6056571.989,487627.752 6056599.424,487627.682 6056599.464,487607.77 6056611.462,487583.89 6056627.019,487562.55 6056641.926,487549.555 6056652.064,487534.222 6056665.6,487516.11 6056682.736,487504.695 6056694.273,487498.847 6056700.652,487487.262 6056714.178,487479.256 6056724.425,487471.52 6056735.432,487466.032 6056744.259,487452.019 6056768.162,487445.302 6056780.518,487420.433 6056827.013,487378.893 6056903.719,487369.018 6056921.374,487362.64 6056931.731,487356.133 6056941.398,487348.407 6056952.015,487335.703 6056968.13,487325.457 6056980.476,487316.541 6056990.523,487309.134 6056998.351,487300.788 6057006.529,487290.003 6057016.517,487282.296 6057022.506,487248.661 6057051.449,487236.077 6057062.086,487232.748 6057064.556,487227.79 6057067.745,487223.982 6057069.685,487216.054 6057051.572,487215.944 6057051.332,487217.813 6057050.392,487221.372 6057048.103,487223.661 6057046.403,487235.755 6057036.175,487270.68 6057006.662,487276.757 6057001.533,487287.223 6056991.856,487294.869 6056984.338,487301.796 6056977.02,487310.283 6056967.453,487320.158 6056955.556,487332.473 6056939.941,487339.749 6056929.934,487345.827 6056920.906,487351.774 6056911.249,487361.38 6056894.075,487402.83 6056817.539,487419.652 6056786.079,487427.528 6056771.353,487427.578 6056771.273,487434.605 6056758.327,487448.918 6056733.925,487454.836 6056724.398,487461.273 6056715.24,487463.192 6056712.511,487471.788 6056701.514,487483.883 6056687.388,487490.22 6056680.48,487502.135 6056668.443,487520.737 6056650.837,487536.78 6056636.671,487550.674 6056625.843,487572.704 6056610.446,487597.154 6056594.519,487617.365 6056582.342,487617.565 6056582.222,487617.815 6056582.072,487665.575 6056554.656,487734.366 6056515.023,487807.805 6056472.559,487807.845 6056472.519,487815.451 6056468.17,487819.58 6056464.371,487824.977 6056460.182,487828.186 6056457.422,487831.105 6056454.413,487833.843 6056451.404,487837.662 6056446.915,487842.939 6056441.686,487848.977 6056436.367,487859.342 6056428.819,487882.682 6056415.441,487944.476 6056380.006,488001.852 6056347.211,488111.59 6056284.522,488116.198 6056281.893,488203.484 6056232.17,488284.253 6056186.005,488413.344 6056112.198,488537.147 6056041.541,488630.212 6055988.185,488637.059 6055984.268))"
"DESHPDHK00035RrC","2020-10-02T11:19:04Z","01","0","54","093","1559","7","","186","false","Polygon((488772.541 6055929.814,488878.113 6055869.408,488890.059 6055862.572,488893.307 6055860.713,488906.083 6055876.439,488907.792 6055879.248,488928.905 6055909.52,488930.364 6055911.859,488938.661 6055925.475,488940.361 6055928.035,488856.88 6055975.978,488760.096 6056031.193,488696.65 6056067.439,488685.555 6056076.403,488654.387 6056093.992,488641.052 6056099.248,488590.381 6056128.12,488514.89 6056171.244,488470.517 6056196.489,488430.852 6056218.976,488400.084 6056236.166,488354.751 6056261.392,488323.103 6056279.022,488312.117 6056288.797,488282.369 6056305.718,488267.345 6056311.075,488233.717 6056330.225,488162.365 6056371.004,488074.619 6056421.33,487992.401 6056468.379,487942.712 6056496.815,487889.564 6056527.131,487785.738 6056586.601,487772.774 6056597.269,487769.555 6056599.338,487765.187 6056602.158,487741.467 6056614.826,487728.232 6056618.076,487699.425 6056633.924,487680.433 6056644.742,487655.163 6056659.39,487638.43 6056669.748,487626.645 6056677.816,487616.15 6056685.774,487605.365 6056694.302,487592.01 6056705.66,487573.938 6056723.445,487560.444 6056737.941,487553.637 6056745.999,487542.822 6056760.065,487532.327 6056774.391,487523.331 6056788.257,487516.474 6056800.013,487507.258 6056816.648,487458.262 6056909.179,487454.553 6056916.777,487453.744 6056918.876,487454.084 6056920.905,487454.883 6056922.295,487456.803 6056924.444,487461.701 6056926.603,487467.619 6056929.221,487475.136 6056933.289,487475.796 6056933.649,487478.594 6056935.158,487479.354 6056936.037,487483.013 6056940.295,487487.052 6056949.142,487487.292 6056954.39,487487.402 6056956.949,487487.362 6056957.389,487487.342 6056957.509,487486.483 6056964.926,487484.004 6056970.754,487478.007 6056983.87,487476.068 6056992.427,487473.099 6056998.725,487469.761 6057004.264,487465.773 6057009.902,487461.325 6057015.051,487453.878 6057022.929,487453.798 6057023.109,487450.84 6057025.948,487438.525 6057037.805,487436.726 6057039.445,487433.817 6057041.565,487433.587 6057041.695,487423.302 6057047.934,487384.089 6057071.719,487364.357 6057083.687,487361.039 6057085.707,487362.358 6057088.296,487362.688 6057088.955,487364.928 6057099.282,487365.198 6057100.501,487361.629 6057101.531,487352.673 6057104.131,487338.669 6057105.662,487320.316 6057109.282,487302.083 6057113.303,487291.048 6057116.473,487283.121 6057119.432,487251.984 6057132.941,487251.724 6057133.05,487249.735 6057128.512,487244.416 6057116.367,487243.207 6057113.608,487228.151 6057079.221,487226.911 6057076.382,487224.072 6057069.885,487223.982 6057069.685,487227.79 6057067.745,487232.748 6057064.556,487236.077 6057062.086,487248.661 6057051.449,487282.296 6057022.506,487290.003 6057016.517,487300.788 6057006.529,487309.134 6056998.351,487316.541 6056990.523,487325.457 6056980.476,487335.703 6056968.13,487348.407 6056952.015,487356.133 6056941.398,487362.64 6056931.731,487369.018 6056921.374,487378.893 6056903.719,487420.433 6056827.013,487445.302 6056780.518,487452.019 6056768.162,487466.032 6056744.259,487471.52 6056735.432,487479.256 6056724.425,487487.262 6056714.178,487498.847 6056700.652,487504.695 6056694.273,487516.11 6056682.736,487534.222 6056665.6,487549.555 6056652.064,487562.55 6056641.926,487583.89 6056627.019,487607.77 6056611.462,487627.682 6056599.464,487627.752 6056599.424,487675.542 6056571.989,487744.363 6056532.335,487820.2 6056488.482,487827.327 6056484.403,487832.495 6056479.654,487837.633 6056475.665,487841.901 6056471.995,487845.689 6056468.096,487848.858 6056464.597,487852.326 6056460.528,487856.595 6056456.299,487861.492 6056451.98,487870.229 6056445.622,487954.393 6056397.369,488121.507 6056301.886,488213.392 6056249.534,488294.181 6056203.359,488425.69 6056128.173,488547.074 6056058.895,488642.378 6056004.261,488772.541 6055929.814))"
