     ars      |                 gen                  |                                    st_extent                                     
--------------+--------------------------------------+----------------------------------------------------------------------------------
 072355007001 | Aach                                 | BOX(6.565425874168373 49.77474862666237,6.629166814902183 49.80393314379592)
 083355001001 | Aach                                 | BOX(8.83105864295124 47.8253574215897,8.887932838119596 47.86362971174931)
 053340002002 | Aachen                               | BOX(5.974861423017713 50.64886466200737,6.216912518736427 50.85735349954505)
 081365001088 | Aalen                                | BOX(9.971481969729451 48.74849116390074,10.27769541032664 48.89890462151364)
 064390001001 | Aarbergen                            | BOX(8.021650501540934 50.20565023119271,8.161939795766394 50.28167733283656)
 010615168001 | Aasbüttel                            | BOX(9.41418374569543 54.05478884944329,9.4627602985781 54.08426515962562)
 095760111111 | Abenberg                             | BOX(10.854914514208826 49.19241362420911,11.007523852359665 49.27467670109847)
 095769451451 | Abenberger Wald                      | BOX(10.955535646076742 49.22400276217784,11.001039099389303 49.239199109752164)
 092730111111 | Abensberg                            | BOX(11.791899954601789 48.77511975498788,11.922431910614147 48.89403958348679)
 071345002001 | Abentheuer                           | BOX(7.053729709706995 49.642306370445816,7.112887593597359 49.68035349316989)
 095775532111 | Absberg                              | BOX(10.813245906210552 49.12744739878724,10.916323885569927 49.188625416367124)
 081255012001 | Abstatt                              | BOX(9.272321439209051 49.06022548189223,9.363680798311425 49.092401145266095)
 160655052001 | Abtsbessingen                        | BOX(10.720258254709892 51.23691764964394,10.795516428404515 51.27773639711049)
 081360002002 | Abtsgmünd                            | BOX(9.866210512117023 48.856575925129896,10.042596129156902 48.954675192240586)
 064310001001 | Abtsteinach                          | BOX(8.76930087038468 49.51168875019174,8.807349486867269 49.57521498808519)
 096755614111 | Abtswind                             | BOX(10.349219164416455 49.75440802524171,10.431949448107545 49.78870981532365)
 071335010001 | Abtweiler                            | BOX(7.628741285252958 49.733856357416066,7.687706243261989 49.75933877921131)
 084365007001 | Achberg                              | BOX(9.682392284971245 47.60177467218146,9.745114932563247 47.64496682113098)
 083175001001 | Achern                               | BOX(7.966060694229537 48.58509814470122,8.24860722554386 48.683190573343346)
 033610001001 | Achim                                | BOX(8.915827047813675 52.98070454982378,9.143101222700048 53.055824105989316)
 092765238111 | Achslach                             | BOX(12.847014728552727 48.93525632505407,12.952510808533852 49.01036517372099)
 084265005001 | Achstetten                           | BOX(9.857905920878144 48.23325655283283,9.951921456358178 48.294035068119456)
 071375003001 | Acht                                 | BOX(7.044208832411853 50.36150808447852,7.092636403885019 50.389983512546884)
 071345002002 | Achtelsbach                          | BOX(7.027980123328444 49.6120841498478,7.102673479562973 49.65468752516862)
 010585803001 | Achterwehr                           | BOX(9.909822458589897 54.278226283509476,10.046213397394837 54.321458458472414)
 010545489001 | Achtrup                              | BOX(8.979067104051888 54.77381457528963,9.120198489385032 54.81676142319116)
 081175008001 | Adelberg                             | BOX(9.571029196507046 48.74382495858842,9.62230004908291 48.78135891452188)
 031590001001 | Adelebsen                            | BOX(9.658381129287577 51.52195172689619,9.826474337099631 51.61449940553068)
 033515404001 | Adelheidsdorf                        | BOX(9.965342615497661 52.53375228503605,10.09647421895128 52.592874112885454)
 081365003003 | Adelmannsfelden                      | BOX(9.891244315969443 48.940577297404154,10.021900791455042 48.981817049816854)
 091765118111 | Adelschlag                           | BOX(11.095972410456184 48.80705849500995,11.285892161356948 48.88465501298895)
 095720111111 | Adelsdorf                            | BOX(10.862955882361295 49.6675463251836,10.962837386012387 49.74449971965164)
 082255009001 | Adelsheim                            | BOX(9.328427697082697 49.35706413103394,9.464676254886117 49.42310740927956)
 091795131111 | Adelshofen                           | BOX(11.058569635794687 48.166946881761625,11.142862669209093 48.213785884414776)
