  ars  |                gen                |                                    st_extent                                     
-------+-----------------------------------+----------------------------------------------------------------------------------
 07131 | Ahrweiler                         | BOX(6.743243953085849 50.30663255206226,7.344388160145117 50.64966040915279)
 09771 | Aichach-Friedberg                 | BOX(10.864234115240846 48.19164118496262,11.311674872234887 48.62017130331295)
 08425 | Alb-Donau-Kreis                   | BOX(9.489158048555757 48.14229000972508,10.24140630149497 48.631755381416895)
 16077 | Altenburger Land                  | BOX(12.20778879255576 50.80961546695134,12.654115089481433 51.103782504191784)
 07132 | Altenkirchen (Westerwald)         | BOX(7.439151348459854 50.563870069353015,8.043045796428862 50.94233509201525)
 15081 | Altmarkkreis Salzwedel            | BOX(10.755233135155148 52.386779200636525,11.63752384134045 52.941633920817765)
 09171 | Altötting                         | BOX(12.542545768149443 48.04442785643152,12.944684449510316 48.35842660913666)
 07331 | Alzey-Worms                       | BOX(7.904614506676221 49.58807146193053,8.479850016683702 49.90000704549565)
 09361 | Amberg                            | BOX(11.776674185150593 49.41182622089648,11.914553735456899 49.497060744352)
 09371 | Amberg-Sulzbach                   | BOX(11.51085419081072 49.214405215161285,12.119641854792393 49.76092706156717)
 03451 | Ammerland                         | BOX(7.697543111571964 53.05962406307669,8.314619896831088 53.354041211013154)
 15082 | Anhalt-Bitterfeld                 | BOX(11.838237895471883 51.5313204775521,12.580262793436662 52.10409324537378)
 09561 | Ansbach                           | BOX(10.45427871118348 49.23369283382182,10.656759178801767 49.34368268414225)
 09571 | Ansbach                           | BOX(10.094741443537439 48.97676273417192,10.913401953374933 49.492033368010816)
 09661 | Aschaffenburg                     | BOX(9.080084030185809 49.92061434778322,9.237795403532074 50.02130479351958)
 09671 | Aschaffenburg                     | BOX(8.975925858826603 49.83247117639462,9.486262839888612 50.14941731376112)
 09761 | Augsburg                          | BOX(10.764189862002796 48.25823226373145,10.959205528005914 48.458653644586676)
 09772 | Augsburg                          | BOX(10.494823933306145 48.089213614569715,10.987043885090081 48.63858127635102)
 03452 | Aurich                            | BOX(6.853511585948676 53.332281089046525,7.815484533976438 53.73613734007236)
 07332 | Bad Dürkheim                      | BOX(7.824573846674459 49.308977450718,8.31741445961996 49.62885316766513)
 08211 | Baden-Baden                       | BOX(8.10881198120299 48.66674708182646,8.320981846332952 48.84758676274449)
 09672 | Bad Kissingen                     | BOX(9.623150780902684 50.02968428598223,10.370133891977234 50.42586748020374)
 07133 | Bad Kreuznach                     | BOX(7.387391459149673 49.6359475974655,7.968769617960142 50.00102287406121)
 09173 | Bad Tölz-Wolfratshausen           | BOX(11.262696008934702 47.495287961670385,11.68005681442347 47.980224713520315)
 09461 | Bamberg                           | BOX(10.826423824809023 49.84246815943902,10.959998261648405 49.92702302220185)
 09471 | Bamberg                           | BOX(10.439911482052166 49.72112327170895,11.25257222819622 50.09534859943628)
 12060 | Barnim                            | BOX(13.39640648172292 52.544235577101205,14.156634941932705 53.05853743846751)
 14625 | Bautzen                           | BOX(13.760741442992138 51.018767188538725,14.699120427901736 51.54461378593188)
 09462 | Bayreuth                          | BOX(11.474773061572392 49.88825589291463,11.672539411206811 49.976951887787415)
 09472 | Bayreuth                          | BOX(11.184316020883076 49.61387536785016,11.903900669697169 50.13359867319018)
 09172 | Berchtesgadener Land              | BOX(12.69590828496321 47.46337444871948,13.098660589256637 47.96260898417945)
 06431 | Bergstraße                        | BOX(8.356105210589439 49.3953967199449,8.95034871980144 49.75462154517621)
 11000 | Berlin                            | BOX(13.088333218007719 52.33824183586158,13.760469284119786 52.67537881653721)
 07231 | Bernkastel-Wittlich               | BOX(6.681223782423446 49.67299232257307,7.263789290482117 50.131504969115916)
 08426 | Biberach                          | BOX(9.260296230736326 47.94574607180425,10.14395494942783 48.294035068119456)
 05711 | Bielefeld                         | BOX(8.377677369557977 51.91496977815004,8.66354215372082 52.11483330796834)
 07134 | Birkenfeld                        | BOX(7.027980123328444 49.54862364098513,7.526303845176326 49.90052374889249)
 08115 | Böblingen                         | BOX(8.746464928350516 48.49901034637815,9.174158021499512 48.86767640330348)
